Image,Object ID,Object type,Classification,ROI,Centroid X µm,Centroid Y µm
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,b1733e97-0a49-4066-8c79-a0c5a7a4fe84,Detection,Pdgfra-: ASPA+,Polygon,439.44,27.54
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,3f07a59a-3b66-4953-aa5b-04178b73dc31,Detection,Pdgfra-: ASPA-,Polygon,442.6,47.81
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,604941bf-feac-4ba0-a2ae-a85585f578e9,Detection,Pdgfra-: ASPA-,Polygon,216.78,64.14
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,6e766ba5-472c-44a1-9783-5fe9dd7bc609,Detection,Pdgfra-: ASPA+,Polygon,239.26,66.62
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,f14af60e-5006-4d46-9e28-3b6f700ffe38,Detection,Pdgfra-: ASPA-,Polygon,506.23,73.67
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,ea0d83ec-82cf-4a3b-b898-d64316d710b5,Detection,Pdgfra-: ASPA-,Polygon,47.17,83.73
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,f0f2f17d-9fe2-481f-9b2a-7e262f8d97da,Detection,Pdgfra-: ASPA-,Polygon,503.83,83.56
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,d80ce4fe-3345-4813-ac27-a4c36079c48a,Detection,Pdgfra-: ASPA-,Polygon,68.68,91.89
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,d21c0819-0628-4287-8718-19a92addee5e,Detection,Pdgfra-: ASPA-,Polygon,183.83,95.86
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,bfbbbe4a-665d-42d4-b45a-48c73949800f,Detection,Pdgfra-: ASPA-,Polygon,317.83,101.32
